name,price,sold,page,gmv
"Official Xiaomi Redmi 13C | Tiga kamera AI 50 MP 16 GB RAM* Layar Dot  - Green, 6+128G",1499000,3000,1,4497000000
Xiaomi Redmi 13C 6/128 GB + 8/256 GB Garansi Resmi,1714000,250,1,428500000
Xiaomi Redmi 13C 6/128GB 8/256GB Garansi Resmi,1499000,0,1,0
Xiaomi Redmi 12c 6/128GB,999000,2,1,1998000
Xiaomi Redmi 12 8/256GB 8/128GB Garansi Resmi,1847000,500,1,923500000
Xiaomi Redmi 12C 4/64 3/32 GB - Garansi Resmi,11000000,250,1,2750000000
Xiaomi Redmi Note 12 Pro 5G 8/256GB Garansi Resmi Redmi Note 12 Not 11,40050000,750,1,30037500000
Xiaomi Redmi 12 RAM 8/256 8/128 GB Garansi Resmi,20300000,250,1,5075000000
Xiaomi Redmi A2 3/64 GB 3/32 GB Garansi Resmi Redmi A2 Not 9C 10C 12C,1113500,500,1,556750000
Xiaomi Redmi Note 12 Pro 5G 8/256 GB Garansi Resmi Not Note 11 Pro,37050000,250,1,9262500000
"XIAOMI OFFICIAL Redmi 12C MediaTek Helio G85 50MP AI Dual Kamera 6,71",1099000,5000,1,5495000000
Xiaomi Poco F5 8/256 12/256 Garansi Resmi 15 Bulan Xiaomi Indonesia,5899000,25,1,147475000
xiaomi redmi 12 8/256 GARANSI RESMI SEGEL BNIB NO REPACK,2089050,80,1,167124000
Xiaomi Redmi Note 12 4/128GB 6/128GB 8/128GB Garansi Resmi,2303600,30,1,69108000
XIAOMI REDMI A2 / mi a2 2023 GARANSI RESMI ORIGINAL SEGEL NO REPACK,859000,250,1,214750000
Xiaomi Redmi 12c 3/32GB 4/64GB 4/128GB Garansi Resmi Xiaomi,7439500,250,1,1859875000
Xiaomi Poco X5 5G 8/256GB 6/128GB Garansi Resmi,29850000,100,1,2985000000
Official Xiaomi Redmi 12 (8GB/128GB) | (8GB/256GB) MediaTek Helio G88,19900000,6000,1,119400000000
XIAOMI OFFICIAL Redmi Note 12 Pro 5G Kamera 50MP Sony IMX766 P-OLED,3549000,4000,1,14196000000
Xiaomi Mi 13T 50MP Kamera Leica 144Hz AMOLED 67W - Garansi Resmi,7499000,100,1,749900000
"Xiaomi Official Redmi A2 8MP AI Dual Kamera Layar HD+ 6,52 5000mAh",874000,3000,1,2622000000
Xiaomi Poco F5 F5 Pro 5G 12/256 GB 8/256 GB Garansi RESMI not F4 GT F1,27550000,100,1,2755000000
Xiaomi Redmi Note 12 Pro 4G,32500000,750,1,24375000000
Xiaomi Redmi 12C 3/32GB | 4/64GB | 4/128GB Original Garansi Resmi,11400000,70,1,798000000
Xiaomi Mi 13T Pro 5G 12/256 GB 8/256 GB Garansi Resmi not Mi 12T 11T,36150000,250,1,9037500000
Xiaomi Redmi 13C 6/128GB 8/256GB,1799000,0,1,0
Xiaomi Redmi 12c 3/32GB 4/64GB 4/128GB Garansi Resmi,1019200,4,1,4076800
Xiaomi Redmi 13C RAM 6 GB ROM 128 GB Garansi Resmi,1445000,0,1,0
Xiaomi Redmi 13c 6/128GB 8/256GB Garansi Resmi,1617200,18,1,29109600
Xiaomi Redmi 10 5G Smartphone (6/128GB) Garansi Resmi,1774000,60,1,106440000
FS!! Xiaomi Poco M4 Pro [ 6/128GB ] Garansi Resmi,2249500,500,1,1124750000
Xiaomi Redmi 10 5G Smartphone (6/128GB),9700000,100,1,970000000
xiaomi poco f4 8/256 garansi resmi,4099000,100,1,409900000
Xiaomi Redmi Note 12 6/128 GB Garansi Resmi,21750000,250,1,5437500000
Xiaomi Poco F4 GT 5G 12/256GB Snapdragon 8 Gen 1 Garansi Resmi,67500000,250,1,16875000000
Xiaomi Redmi 10A 3/32 GB Garansi Resmi,927500,250,1,231875000
Xiaomi Redmi 12C 3/32 GB Garansi Resmi,5537000,100,1,553700000
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi,20300000,250,1,5075000000
Xiaomi Redmi 10 versi 2022 6/128GB Garansi Resmi,1651500,1000,1,1651500000
XIAOMI REDMI 12C 3/32 4/64 4/128 Ram 3GB 4GB Internal 32GB 64GB 128GB,969000,90,1,87210000
Xiaomi Redmi 12 8/256GB 8/128GB Garansi Resmi,1954000,5,1,9770000
Xiaomi Redmi 13C 6/128Gb | 8/256Gb Garansi Resmi,1779000,50,1,88950000
[Baru]Xiaomi POCO M3 Ram 6/128GB 6.53 inche 6000mAh 4G Garansi 1 tahun,1755000,50,1,87750000
Xiaomi Poco X5 Pro 5G 6/128 Gb Garansi Resmi,3950000,100,1,395000000
Xiaomi Poco X5 6/128GB 8/256GB Garansi Resmi,2865200,0,1,0
xiaomi redmi note 10s 8/128gb second full set,1799000,100,1,179900000
Xiaomi Mi 13T 5G 12/256 GB 8/256 GB Garansi Resmi Xiaomi 13T Not 12 12,82000000,250,1,20500000000
XIAOMI REDMI 12C 3/32 4/64 4/128 Ram 3GB 4GB Internal 32GB 64GB 128GB,969000,40,1,38760000
Xiaomi Poco X5 Pro 5G 8/256 GB 6/128 GB Garansi Resmi Poco X5 Pro 5G,38850000,80,1,3108000000
Xiaomi Poco X5 PRO 5G 6/128 GB POCO X5 PRO 8/256 GB 5G GARANSI RESMI,38350000,250,1,9587500000
XIAOMI REDMI 12 8/128 GB GARANSI RESMI,19200000,100,1,1920000000
Xiaomi Redmi A2 RAM 3/64 3/32 GB Garansi Resmi,914000,100,1,91400000
(RESMI) Xiaomi Mi 13T 12/256GB 256 GB Black Blue Green,70900000,28,1,1985200000
Xiaomi Redmi 13C 6/128 8/256 GB Garansi Resmi 6 128 8 256 GB not 12c,11146500,100,1,1114650000
Xiaomi Poco X5 5G 8/256GB 6/128GB Garansi Resmi Poco X5 5G 8 GB 256 GB,42350000,500,1,21175000000
Xiaomi Redmi 12 8/128 GB Garansi Resmi,19250000,100,1,1925000000
Xiaomi Redmi A2 3/32GB 32 GB Garansi Resmi,845000,750,1,633750000
XIAOMI OFFICIAL Xiaomi 12T 5G,5599000,3000,1,16797000000
Xiaomi redmi 12 8/128 GARANSI RESMI,19100000,50,1,955000000
Xiaomi Redmi 10 2022 Smartphone (6/128GB),17100000,250,1,4275000000
Xiaomi 12T 8/256 Garansi Resmi 8GB 256GB Mi,4600000,21,1,96600000
Xiaomi Redmi 12C 4/128 GB Garansi Resmi,16500000,250,1,4125000000
Xiaomi Poco X5 Pro 5G 8/256GB 6/128GB Garansi Resmi Poco X5 Not M4 M5s,28350000,100,1,2835000000
Xiaomi Redmi Note 12 8/128GB Garansi Resmi 1 Tahun,2312000,250,1,578000000
Xiaomi Redmi Note 12 4/128GB | 6/128GB | 8/128GB Garansi Resmi 1 Tahun,23150000,250,1,5787500000
Xiaomi Redmi 13C 6/128 GB Garansi Resmi,14900000,30,1,447000000
Xiaomi Redmi A2 RAM 3/64 3/32 GB Garansi Resmi,6627000,100,1,662700000
Xiaomi 12 5G 8/256 Garansi Resmi 8GB 256GB Snap 8 Gen 1,5510000,9,1,49590000
Xiaomi Redmi 12C 4/128GB 4/64GB 3/32GB Garansi Resmi Not Redmi 10C 10A,11449000,2000,1,22898000000
Xiaomi Redmi Note 12 4/128GB | 6/128GB | 8/128GB  - Garansi Resmi,23700000,250,1,5925000000
Xiaomi Redmi A2 3/32GB - 3/64GB 3 32 GB 3 64 GB Garansi Resmi Not A1,9863500,250,1,2465875000
Xiaomi Redmi 12C 4/64GB Garansi Resmi,8436500,250,1,2109125000
Xiaomi Redmi 10A 3/32GB Garansi Resmi,1099000,250,1,274750000
Xiaomi Redmi Note 12 Pro 4G 8/256GB 8/128GB Garansi Resmi Not 12C,34550000,100,1,3455000000
Xiaomi Official Redmi Note 11 4/128GB Smartphone,1899000,3000,1,5697000000
xiaomi redmi 6a ram 2gb 16gb,370000,100,1,37000000
Mi 5 3/64gb xiaomi mi 5 nfc second normal,600000,9,1,5400000
PROMO Xiaomi Redmi Note 11 4/128GB Garansi Resmi,1587000,4000,1,6348000000
Official Xiaomi Redmi 13C | Tiga kamera AI 50 MP 16 GB RAM* Layar Dot ,16400000,3000,1,49200000000
Xiaomi Redmi Note 12 4/128GB | 6/128GB | 8/128GB - Garansi Resmi,23550000,250,1,5887500000
xiaomi redmi 13c 8/256 Gransi resmi,1775000,3,1,5325000
Xiaomi mi 11t 8/256 new garansi resmi Xiaomi indonesia,4199000,9,1,37791000
Xiaomi Redmi 12 128GB/256GB - Garansi Resmi,2033200,30,1,60996000
XIAOMI REDMI 6 A 2/16 3/32 GB GARANSI 1 TAHUN,579000,14,1,8106000
XIAOMI POCO M4 PRO 8/256 GB - FULLSET MULUS,2299000,0,1,0
Xiaomi Redmi 12c 4/64 RAM 4GB ROM 64GB GARANSI RESMI - GRAY,1185000,15,2,17775000
redmi 13c 6/128gb xiaomi redmi 13c 6/128 garansi resni,1469900,4,2,5879600
Official Xiaomi Smart TV A Pro 43 UHD | 4K Ultra HD Dolby Audio™ DTS-X,3699000,250,2,924750000
xiaomi Poco C65 6/128,1417000,4,2,5668000
Xiaomi Redmi 13c 6/128 Best Seller Garansi Resmi,1488000,6,2,8928000
Xiaomi Redmi A2 3/32 3/32GB 3/64 3/64GB Garansi Resmi Not Redmi A1,9892000,250,2,2473000000
Xiaomi Redmi 12C 4/ 128 Garansi Resmi,1499999,100,2,149999900
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi Not 10C 10A,20350000,500,2,10175000000
Xiaomi Redmi Note 12 Pro 5G 8/256GB Garansi Resmi,29950000,500,2,14975000000
Xiaomi Redmi Note 12 6/128GB Garansi Resmi,16000000,500,2,8000000000
XIAOMI REDMI 5A 3/32 GB GARANSI 1 TAHUN,399000,30,2,11970000
Xiaomi Redmi 4A,339000,100,2,33900000
Xiaomi Redmi A2 3/32GB 32 GB Garansi Resmi,830000,750,2,622500000
SMARTPHONE XIAOMI POCO X5 5G RAM 6/128 DAN RAM 8/256GB BLACK HITAM,2649000,1,2,2649000
Xiaomi Redmi 10 2022 Smartphone (6/128GB),1680000,250,2,420000000
Xiaomi redmi note 5A prime 3/32gb,475000,15,2,7125000
XIAOMI REDMI A2 3/64 GB GARANSI RESMI,950000,100,2,95000000
Xiaomi Redmi 12C 3/32GB Garansi Resmi,958500,70,2,67095000
Xiaomi Redmi 12C 4/64 GB Garansi Resmi,1499000,40,2,59960000
XIAOMI REDMI 10 5G 6/128 GB GARANSI RESMI,1580000,250,2,395000000
PROMO!! Xiaomi Redmi Note 11 [ 4/128GB ] Garansi Resmi,21350000,1000,2,21350000000
Xiaomi Redmi Note 11 6/128 GB Garansi Resmi,1999000,4000,2,7996000000
Xiaomi Redmi Pad [ 6/128GB ] Garansi Resmi ,34400000,100,2,3440000000
Xiaomi Redmi 12 8/128 Garansi Resmi Xiaomi Indonesia,1944000,80,2,155520000
XIAOMI REDMI NOTE 12 6/128 GB GARANSI RESMI,21650000,250,2,5412500000
Xiaomi Redmi A1 3/32GB Garansi Resmi,915200,0,2,0
XIAOMI REDMI 12C RAM 4 / 64 GARANSI RESMI ORIGINAL SEGEL NO REPACK,1121340,500,2,560670000
Xiaomi Redmi A2 RAM 3/64 3/32 GB Garansi Resmi,854000,100,2,85400000
Xiaomi Redmi 10 8/256GB - Garansi Resmi,1649000,0,2,0
Xiaomi Redmi A2 RAM 3/64 3/32 GB Garansi Resmi,854000,100,2,85400000
Xiaomi Redmi A2 3/32GB,6137500,60,2,368250000
Xiaomi Redmi Note 12 8/256GB | 8/128GB | 6/128GB Garansi Resmi,27600000,16,2,441600000
Xiaomi Redmi Note 12 Pro 4G 8/256 GB 6/128 GB Garansi Resmi Redmi Note,34550000,500,2,17275000000
Xiaomi Redmi Note 12 Pro 8/256GB 8/128GB Garansi Resmi Redmi 12 Not 11,42400000,500,2,21200000000
Xiaomi Redmi Note 12 8/128GB 6/128GB 4/128GB Garansi Resmi Not Note 11,28600000,750,2,21450000000
XIAOMI OFFICIAL Xiaomi 12T 5G,5599000,3000,2,16797000000
Xiaomi Redmi Note 11 4/128 NFC 4G Garansi Resmi,9000000,100,2,900000000
